bitlength,duration_s,exchange_success
2048,0.00485633,1
4096,0.0335288,1
8192,0.223369,1
2048,0.00495717,1
4096,0.0334981,1
8192,0.223335,1
2048,0.00491621,1
4096,0.033497,1
8192,0.22303,1
2048,0.00477417,1
4096,0.0335362,1
8192,0.223127,1
2048,0.00486504,1
4096,0.0334715,1
8192,0.225011,1
2048,0.00486012,1
4096,0.0336117,1
8192,0.223245,1
2048,0.00493446,1
4096,0.03345,1
8192,0.223612,1
2048,0.00482092,1
4096,0.0335143,1
8192,0.223756,1
2048,0.00505971,1
4096,0.0340345,1
8192,0.224137,1
2048,0.00489708,1
4096,0.0336282,1
8192,0.223327,1
2048,0.00483375,1
4096,0.0335698,1
8192,0.223305,1
2048,0.00497513,1
4096,0.0336056,1
8192,0.223136,1
2048,0.00477829,1
4096,0.0335367,1
8192,0.235624,1
2048,0.00484687,1
4096,0.0335709,1
8192,0.230561,1
2048,0.00493379,1
4096,0.0336067,1
8192,0.224828,1
2048,0.00481008,1
4096,0.0336328,1
8192,0.223452,1
2048,0.00501883,1
4096,0.0335095,1
8192,0.223185,1
2048,0.00494038,1
4096,0.0335664,1
8192,0.224684,1
2048,0.00496021,1
4096,0.0338794,1
8192,0.224597,1
2048,0.00496521,1
4096,0.0336587,1
8192,0.223905,1
2048,0.00494408,1
4096,0.0337351,1
8192,0.225217,1
2048,0.00525963,1
4096,0.0339035,1
8192,0.224253,1
2048,0.00497746,1
4096,0.0336268,1
8192,0.227645,1
2048,0.00491446,1
4096,0.0336457,1
8192,0.223462,1
2048,0.00494754,1
4096,0.0335708,1
8192,0.224266,1
2048,0.00481783,1
4096,0.0337303,1
8192,0.225339,1
2048,0.00483167,1
4096,0.0335171,1
8192,0.224907,1
2048,0.00489946,1
4096,0.0334067,1
8192,0.22322,1
2048,0.004944,1
4096,0.033621,1
8192,0.224993,1
2048,0.0049045,1
4096,0.0336036,1
8192,0.22515,1
2048,0.00493987,1
4096,0.0334903,1
8192,0.2233,1
2048,0.00492175,1
4096,0.0334558,1
8192,0.223509,1
2048,0.00489013,1
4096,0.0335579,1
8192,0.224116,1
2048,0.004958,1
4096,0.0337876,1
8192,0.229826,1
2048,0.00489021,1
4096,0.0343748,1
8192,0.225271,1
2048,0.00492892,1
4096,0.0336017,1
8192,0.2255,1
2048,0.00486967,1
4096,0.0338167,1
8192,0.224134,1
2048,0.00491629,1
4096,0.0338162,1
8192,0.224313,1
2048,0.00494458,1
4096,0.0337693,1
8192,0.22396,1
2048,0.00483367,1
4096,0.0336337,1
8192,0.223483,1
2048,0.00483438,1
4096,0.0336286,1
8192,0.223437,1
2048,0.00490883,1
4096,0.0336643,1
8192,0.225038,1
2048,0.00487662,1
4096,0.0336256,1
8192,0.238981,1
2048,0.00502396,1
4096,0.033749,1
8192,0.223779,1
2048,0.00491567,1
4096,0.0333922,1
8192,0.223337,1
2048,0.00491492,1
4096,0.0336367,1
8192,0.223925,1
2048,0.00489496,1
4096,0.0334598,1
8192,0.227791,1
2048,0.00493942,1
4096,0.0338,1
8192,0.225568,1
2048,0.00494292,1
4096,0.033597,1
8192,0.223558,1
2048,0.00498583,1
4096,0.0335743,1
8192,0.223524,1
2048,0.00484367,1
4096,0.0335213,1
8192,0.225385,1
2048,0.00492638,1
4096,0.0334943,1
8192,0.223111,1
2048,0.00490808,1
4096,0.033602,1
8192,0.2231,1
2048,0.004941,1
4096,0.033578,1
8192,0.223091,1
2048,0.00491208,1
4096,0.0336007,1
8192,0.22348,1
2048,0.0049085,1
4096,0.0335788,1
8192,0.224113,1
2048,0.00496421,1
4096,0.033526,1
8192,0.222667,1
2048,0.00494746,1
4096,0.0335185,1
8192,0.223459,1
2048,0.00498538,1
4096,0.0335025,1
8192,0.223153,1
2048,0.00489025,1
4096,0.0334534,1
8192,0.225462,1
2048,0.00501233,1
4096,0.0338256,1
8192,0.222709,1
2048,0.00487879,1
4096,0.0335709,1
8192,0.223706,1
2048,0.00486354,1
4096,0.0337164,1
8192,0.223238,1
2048,0.00483829,1
4096,0.0335542,1
8192,0.223742,1
2048,0.00488608,1
4096,0.0333892,1
8192,0.225069,1
2048,0.00496675,1
4096,0.0335147,1
8192,0.223785,1
2048,0.00493508,1
4096,0.0334321,1
8192,0.2247,1
2048,0.00493079,1
4096,0.0335332,1
8192,0.223476,1
2048,0.00485637,1
4096,0.0335452,1
8192,0.223238,1
2048,0.00491246,1
4096,0.0335548,1
8192,0.224964,1
2048,0.00498713,1
4096,0.03365,1
8192,0.223558,1
2048,0.00483692,1
4096,0.0335864,1
8192,0.223178,1
2048,0.0048995,1
4096,0.0336212,1
8192,0.235374,1
2048,0.00510979,1
4096,0.0340386,1
8192,0.225241,1
2048,0.00498421,1
4096,0.0335123,1
8192,0.223267,1
2048,0.00482917,1
4096,0.0335861,1
8192,0.223478,1
2048,0.00489792,1
4096,0.0336421,1
8192,0.223322,1
2048,0.00489837,1
4096,0.0334342,1
8192,0.223077,1
2048,0.00487062,1
4096,0.033645,1
8192,0.223789,1
2048,0.00495004,1
4096,0.0334474,1
8192,0.22338,1
2048,0.00493092,1
4096,0.0335177,1
8192,0.223301,1
2048,0.00477788,1
4096,0.033524,1
8192,0.225211,1
2048,0.00490575,1
4096,0.033556,1
8192,0.223188,1
2048,0.00492313,1
4096,0.0338632,1
8192,0.223159,1
2048,0.00489208,1
4096,0.0335425,1
8192,0.22498,1
2048,0.00483408,1
4096,0.0336584,1
8192,0.226744,1
2048,0.00492879,1
4096,0.0342056,1
8192,0.223512,1
2048,0.00495462,1
4096,0.033596,1
8192,0.224356,1
2048,0.00496904,1
4096,0.0335961,1
8192,0.223329,1
